iter	Passed	Remaining
199	380	1520
200	381	1515
201	382	1511
202	383	1507
203	385	1502
204	386	1498
205	387	1494
206	389	1490
207	390	1486
208	391	1480
209	392	1475
210	393	1471
211	394	1466
212	395	1461
213	396	1456
214	397	1452
215	398	1447
216	399	1443
217	401	1438
218	402	1433
219	403	1430
220	404	1426
221	405	1421
222	406	1417
223	407	1413
224	408	1408
225	409	1404
226	411	1399
227	412	1395
228	413	1390
229	414	1386
230	415	1381
231	416	1378
232	417	1374
233	418	1371
234	419	1367
235	421	1363
236	422	1359
237	423	1354
238	424	1350
239	425	1346
240	426	1341
241	427	1337
242	428	1333
243	429	1329
244	430	1325
245	431	1321
246	432	1318
247	433	1314
248	434	1311
249	435	1307
250	437	1304
251	438	1300
252	439	1296
253	440	1292
254	441	1289
255	442	1285
256	443	1281
257	444	1277
258	445	1273
259	446	1270
260	447	1267
261	448	1264
262	450	1261
263	451	1258
264	453	1256
265	454	1253
266	455	1249
267	456	1246
268	457	1242
269	458	1239
270	459	1235
271	460	1232
272	461	1229
273	462	1226
274	464	1225
275	466	1222
276	467	1219
277	468	1216
278	469	1213
279	470	1209
280	471	1206
281	472	1204
282	473	1200
283	474	1197
284	476	1194
285	477	1191
286	479	1190
287	480	1187
288	481	1183
289	482	1180
290	483	1177
291	484	1173
292	485	1170
293	485	1166
294	486	1163
295	487	1160
296	488	1156
297	489	1153
298	490	1149
299	491	1147
300	493	1144
301	494	1142
302	495	1139
303	496	1136
304	497	1133
305	499	1132
306	500	1130
307	502	1129
308	504	1127
309	505	1124
310	506	1121
311	507	1119
312	508	1116
313	509	1113
314	510	1110
315	511	1108
316	513	1105
317	514	1102
318	515	1099
319	516	1096
320	516	1093
321	517	1090
322	518	1087
323	519	1084
324	521	1082
325	522	1080
326	523	1077
327	525	1075
328	526	1073
329	527	1070
330	529	1070
331	531	1069
332	532	1067
333	533	1064
334	535	1062
335	536	1059
336	537	1058
337	539	1055
338	540	1053
339	541	1050
340	542	1048
341	544	1046
342	545	1045
343	547	1043
344	548	1041
345	549	1038
346	550	1036
347	552	1034
348	553	1032
349	554	1029
350	555	1027
351	556	1025
352	558	1023
353	559	1020
354	560	1018
355	561	1015
356	562	1013
357	564	1012
358	565	1009
359	566	1007
360	568	1005
361	569	1003
362	571	1002
363	572	1000
364	573	998
365	574	995
366	575	993
367	577	991
368	578	989
369	579	987
370	581	985
371	583	984
372	584	982
373	585	980
374	587	978
375	588	976
376	589	974
377	591	972
378	592	970
379	593	968
380	594	966
381	595	964
382	597	961
383	598	960
384	599	958
385	600	955
386	602	954
387	603	952
388	604	950
389	606	948
390	607	945
391	608	943
392	610	942
393	611	940
394	612	938
395	614	936
396	615	935
397	616	933
398	618	931
399	619	929
400	620	927
401	621	925
402	623	923
403	624	920
404	625	919
405	626	916
406	628	915
407	629	913
408	630	911
409	631	909
410	633	907
411	634	905
412	635	903
413	637	901
414	638	899
415	639	897
416	640	896
417	642	893
418	643	892
419	644	890
420	645	888
421	647	886
422	648	884
423	649	882
424	650	880
425	652	878
426	653	876
427	654	874
428	655	872
429	656	870
430	657	868
431	659	866
432	660	864
433	661	862
434	662	860
435	663	858
436	664	856
437	666	854
438	667	852
439	668	850
440	669	848
441	670	846
442	671	844
443	672	842
444	674	840
445	675	838
446	676	836
447	677	835
448	678	832
449	679	830
450	681	829
451	682	827
452	683	825
453	684	823
454	686	822
455	687	820
456	689	819
457	690	817
458	691	815
459	693	814
460	694	812
461	696	810
462	697	808
463	698	807
464	699	805
465	701	803
466	702	801
467	703	799
468	704	797
469	705	795
470	707	794
471	708	792
472	709	790
473	710	788
474	711	786
475	712	784
476	713	782
477	714	780
478	715	778
479	716	776
480	717	774
481	718	772
482	719	770
483	720	768
484	721	766
485	722	764
486	723	762
487	724	760
488	725	758
489	726	756
490	727	754
491	728	752
492	729	750
493	730	748
494	731	746
495	732	744
496	733	742
497	734	740
498	735	738
499	736	736
500	737	734
501	738	732
502	739	730
503	740	728
504	741	726
505	742	724
506	743	722
507	744	720
508	745	719
509	746	717
510	747	715
511	748	713
512	749	711
513	750	709
514	751	707
515	752	705
516	753	704
517	754	702
518	755	700
519	756	698
520	757	696
521	758	694
522	759	692
523	760	690
524	761	688
525	762	686
526	763	684
527	764	683
528	765	681
529	766	679
530	767	677
531	768	675
532	769	674
533	770	672
534	772	671
535	773	669
536	774	667
537	775	665
538	775	663
539	776	661
540	777	659
541	778	658
542	779	656
543	780	654
544	781	652
545	783	651
546	784	649
547	785	647
548	786	646
549	788	644
550	789	642
551	790	641
552	791	639
553	792	637
554	793	636
555	795	634
556	796	633
557	797	632
558	799	630
559	800	628
560	801	626
561	802	625
562	803	623
563	804	621
564	805	619
565	805	617
566	806	616
567	807	614
568	808	612
569	810	611
570	811	609
571	813	608
572	814	606
573	815	605
574	816	603
575	817	601
576	819	600
577	820	598
578	821	597
579	822	595
580	823	593
581	824	592
582	825	590
583	826	588
584	827	587
585	829	585
586	830	584
587	831	582
588	832	580
589	833	579
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	839	569
596	840	567
597	841	565
598	842	564
599	843	562
600	844	560
601	846	559
602	847	557
603	848	556
604	849	554
605	849	552
606	850	550
607	852	549
608	853	547
609	854	546
610	855	544
611	856	542
612	857	541
613	858	539
614	859	538
615	861	536
616	862	535
617	863	533
618	864	532
619	865	530
620	866	528
621	867	527
622	868	525
623	869	523
624	870	522
625	871	520
626	872	519
627	874	517
628	875	516
629	876	514
630	877	512
631	878	511
632	879	509
633	880	508
634	881	506
635	882	505
636	884	503
637	885	502
638	886	501
639	887	499
640	888	497
641	889	496
642	890	494
643	891	492
644	892	491
645	893	489
646	894	488
647	895	486
648	896	484
649	897	483
650	898	481
651	899	480
652	901	478
653	902	477
654	903	475
655	904	474
656	904	472
657	905	470
658	906	469
659	907	467
660	908	466
661	909	464
662	910	462
663	911	461
664	912	459
665	913	458
666	914	456
667	915	455
668	916	453
669	917	451
670	918	450
671	919	448
672	920	447
673	921	445
674	922	443
675	923	442
676	924	440
677	924	439
678	925	437
679	926	436
680	927	434
681	928	433
682	929	431
683	930	430
684	931	428
685	932	427
686	933	425
687	934	423
688	935	422
689	936	420
690	937	419
691	938	417
692	939	416
693	940	414
694	942	413
695	943	411
696	944	410
697	945	408
698	946	407
699	947	405
700	948	404
701	949	402
702	950	401
703	951	399
704	952	398
705	953	396
706	953	395
707	954	393
708	955	392
709	957	390
710	958	389
711	959	387
712	960	386
713	960	384
714	961	383
715	962	381
716	963	380
717	964	378
718	965	377
719	966	375
720	967	374
721	968	372
722	969	371
723	970	370
724	971	368
725	972	367
726	973	365
727	974	364
728	975	362
729	976	361
730	978	359
731	978	358
732	979	356
733	980	355
734	981	353
735	982	352
736	983	351
737	984	349
738	986	348
739	987	346
740	988	345
741	989	344
742	990	342
743	991	341
744	993	339
745	994	338
746	995	337
747	996	335
748	997	334
749	999	333
750	1000	331
751	1001	330
752	1003	329
753	1004	327
754	1005	326
755	1006	324
756	1007	323
757	1008	322
758	1009	320
759	1011	319
760	1012	317
761	1013	316
762	1015	315
763	1016	313
764	1017	312
765	1018	311
766	1019	309
767	1020	308
768	1022	307
769	1023	305
770	1024	304
771	1025	302
772	1026	301
773	1028	300
774	1029	298
775	1030	297
776	1031	296
777	1033	294
778	1034	293
779	1035	292
780	1036	290
781	1037	289
782	1038	287
783	1039	286
784	1040	285
785	1041	283
786	1043	282
787	1044	280
788	1045	279
789	1046	278
790	1047	276
791	1048	275
792	1050	274
793	1051	272
794	1052	271
795	1053	270
796	1054	268
797	1055	267
798	1056	265
799	1057	264
800	1058	263
801	1059	261
802	1060	260
803	1061	258
804	1062	257
805	1064	256
806	1065	254
807	1066	253
808	1067	252
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1075	240
817	1076	239
818	1077	238
819	1078	236
820	1079	235
821	1080	233
822	1081	232
823	1082	231
824	1083	229
825	1084	228
826	1085	227
827	1086	225
828	1087	224
829	1088	223
830	1089	221
831	1090	220
832	1091	218
833	1092	217
834	1093	216
835	1094	214
836	1095	213
837	1096	212
838	1097	210
839	1099	209
840	1100	208
841	1101	206
842	1103	205
843	1104	204
844	1105	202
845	1106	201
846	1107	200
847	1108	198
848	1109	197
849	1110	195
850	1111	194
851	1112	193
852	1113	191
853	1115	190
854	1116	189
855	1117	187
856	1117	186
857	1119	185
858	1120	183
859	1121	182
860	1122	181
861	1122	179
862	1124	178
863	1125	177
864	1126	175
865	1127	174
866	1128	173
867	1129	171
868	1131	170
869	1132	169
870	1133	167
871	1134	166
872	1135	165
873	1137	163
874	1138	162
875	1139	161
876	1139	159
877	1141	158
878	1141	157
879	1143	155
880	1144	154
881	1145	153
882	1146	151
883	1147	150
884	1148	149
885	1149	147
886	1150	146
887	1151	145
888	1152	143
889	1153	142
890	1154	141
891	1155	139
892	1156	138
893	1158	137
894	1159	135
895	1160	134
896	1161	133
897	1162	132
898	1163	130
899	1164	129
900	1165	128
901	1166	126
902	1167	125
903	1168	124
904	1169	122
905	1170	121
906	1171	120
907	1173	118
908	1174	117
909	1175	116
910	1176	114
911	1177	113
912	1178	112
913	1179	110
914	1180	109
915	1181	108
916	1182	107
917	1183	105
918	1184	104
919	1185	103
920	1186	101
921	1187	100
922	1189	99
923	1190	97
924	1191	96
925	1192	95
926	1194	94
927	1195	92
928	1196	91
929	1197	90
930	1199	88
931	1200	87
932	1201	86
933	1202	84
934	1203	83
935	1205	82
936	1206	81
937	1207	79
938	1209	78
939	1210	77
940	1211	75
941	1212	74
942	1213	73
943	1214	72
944	1215	70
945	1217	69
946	1218	68
947	1219	66
948	1221	65
949	1222	64
950	1224	63
951	1226	61
952	1227	60
953	1228	59
954	1230	57
955	1231	56
956	1232	55
957	1233	54
958	1234	52
959	1235	51
960	1236	50
961	1237	48
962	1238	47
963	1239	46
964	1240	44
965	1241	43
966	1242	42
967	1243	41
968	1244	39
969	1245	38
970	1246	37
971	1247	35
972	1249	34
973	1250	33
974	1251	32
975	1252	30
976	1253	29
977	1255	28
978	1256	26
979	1257	25
980	1258	24
981	1259	23
982	1260	21
983	1261	20
984	1263	19
985	1264	17
986	1265	16
987	1266	15
988	1267	14
989	1268	12
990	1270	11
991	1271	10
992	1272	8
993	1273	7
994	1275	6
995	1277	5
996	1278	3
997	1279	2
998	1280	1
999	1281	0
